date,confirmed_cases
2023-01-08,1
2023-01-15,1
2023-01-22,4
2023-01-29,1
2023-02-05,0
2023-02-12,0
2023-02-19,0
2023-02-26,0
2023-03-05,0
2023-03-12,0
2023-03-19,0
2023-03-26,1
2023-04-02,1
2023-04-09,0
2023-04-16,0
2023-04-23,0
2023-04-30,0
2023-05-07,0
2023-05-14,0
2023-05-21,0
2023-05-28,0
2023-06-04,0
2023-06-11,0
2023-06-18,0
2023-06-25,0
2023-07-02,0
2023-07-09,0
2023-07-16,6
2023-07-23,0
2023-07-30,0
2023-08-06,0
2023-08-13,1
2023-08-20,1
2023-08-27,2
2023-09-03,0
2023-09-10,0
2023-09-17,1
2023-09-24,0
2023-10-01,1
2023-10-08,8
2023-10-15,14
2023-10-22,19
2023-10-29,30
2023-11-05,15
2023-11-12,40
2023-11-19,27
2023-11-26,30
2023-12-03,18
2023-12-10,14
2023-12-17,9
2023-12-24,34
2023-12-31,34
2024-01-07,28
2024-01-14,37
2024-01-21,59
2024-01-28,92
2024-02-04,45
2024-02-11,72
2024-02-18,53
2024-02-25,52
2024-03-03,70
2024-03-10,54
2024-03-17,45
2024-03-24,66
2024-03-31,48
2024-04-07,69
2024-04-14,100
2024-04-21,86
2024-04-28,83
2024-05-05,190
2024-05-12,159
2024-05-19,158
2024-05-26,120
2024-06-02,113
2024-06-09,172
2024-06-16,224
2024-06-23,161
2024-06-30,205
2024-07-07,263
2024-07-14,318
2024-07-21,412
2024-07-28,283
2024-08-04,150
2024-08-11,159
2024-08-18,196
2024-08-25,205
2024-09-01,259
2024-09-08,379
2024-09-15,241
2024-09-22,360
2024-09-29,327
2024-10-06,303
2024-10-13,281
2024-10-20,388
2024-10-27,284
2024-11-03,247
2024-11-10,516
2024-11-17,483
2024-11-24,368
2024-12-01,432
2024-12-08,444
2024-12-15,318
2024-12-22,272
2024-12-29,230
2025-01-05,573
2025-01-12,865
2025-01-19,660
2025-01-26,551
2025-02-02,465
2025-02-09,556
2025-02-16,473
2025-02-23,549
2025-03-02,489
2025-03-09,556
2025-03-16,608
2025-03-23,506
2025-03-30,387
2025-04-06,464
2025-04-13,505
2025-04-20,676
2025-04-27,803
2025-05-04,700
2025-05-11,684
2025-05-18,557
2025-05-25,936
2025-06-01,731
2025-06-08,615
2025-06-15,513
2025-06-22,408
2025-06-29,363
2025-07-06,388
2025-07-13,334
2025-07-20,368
2025-07-27,423
2025-08-03,358
2025-08-10,367
2025-08-17,243
2025-08-24,295
2025-08-31,371
2025-09-07,339
2025-09-14,428
2025-09-21,230
2025-09-28,286
